genome_id,antibiotic,measurement_sign,measurement,measurement_unit,laboratory_typing_method,testing_standard,pmid
g1307.7513,florfenicol,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7513,lincomycin,,128.0,mg/L,MIC,CLSI,[34493269]
g1307.7513,marbofloxacin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7513,penicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7513,spectinomycin,,8.0,mg/L,MIC,CLSI,[34493269]
g1307.7513,tetracycline,,64.0,mg/L,MIC,CLSI,[34493269]
g1307.7513,tiamulin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7513,tilmicosin,,128.0,mg/L,MIC,CLSI,[34493269]
g1307.7513,trimethoprim,,0.06,mg/L,MIC,CLSI,[34493269]
g1307.7513,tylosin,,256.0,mg/L,MIC,CLSI,[34493269]
g1307.7514,amoxicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7514,cefquinome,,0.015,mg/L,MIC,CLSI,[34493269]
g1307.7514,ceftiofur,,0.12,mg/L,MIC,CLSI,[34493269]
g1307.7514,doxycycline,,8.0,mg/L,MIC,CLSI,[34493269]
g1307.7514,enrofloxacin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7514,erythromycin,,0.015,mg/L,MIC,CLSI,[34493269]
g1307.7514,florfenicol,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7514,lincomycin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7514,marbofloxacin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7514,penicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7514,spectinomycin,,16.0,mg/L,MIC,CLSI,[34493269]
g1307.7514,tetracycline,,32.0,mg/L,MIC,CLSI,[34493269]
g1307.7514,tiamulin,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7514,tilmicosin,,4.0,mg/L,MIC,CLSI,[34493269]
g1307.7514,trimethoprim,,0.06,mg/L,MIC,CLSI,[34493269]
g1307.7514,tylosin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7515,amoxicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7515,cefquinome,,0.06,mg/L,MIC,CLSI,[34493269]
g1307.7515,ceftiofur,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7515,doxycycline,,16.0,mg/L,MIC,CLSI,[34493269]
g1307.7515,enrofloxacin,,0.25,mg/L,MIC,CLSI,[34493269]
g1307.7515,erythromycin,,32.0,mg/L,MIC,CLSI,[34493269]
g1307.7515,florfenicol,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7515,lincomycin,,128.0,mg/L,MIC,CLSI,[34493269]
g1307.7515,marbofloxacin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7515,penicillin,,0.25,mg/L,MIC,CLSI,[34493269]
g1307.7515,spectinomycin,,16.0,mg/L,MIC,CLSI,[34493269]
g1307.7515,tetracycline,,64.0,mg/L,MIC,CLSI,[34493269]
g1307.7515,tiamulin,,64.0,mg/L,MIC,CLSI,[34493269]
g1307.7515,tilmicosin,,128.0,mg/L,MIC,CLSI,[34493269]
g1307.7515,trimethoprim,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7515,tylosin,,256.0,mg/L,MIC,CLSI,[34493269]
g1307.7516,amoxicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7516,cefquinome,,0.12,mg/L,MIC,CLSI,[34493269]
g1307.7516,ceftiofur,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7516,doxycycline,,16.0,mg/L,MIC,CLSI,[34493269]
g1307.7516,enrofloxacin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7516,erythromycin,,32.0,mg/L,MIC,CLSI,[34493269]
g1307.7516,florfenicol,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7516,lincomycin,,128.0,mg/L,MIC,CLSI,[34493269]
g1307.7516,marbofloxacin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7516,penicillin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7516,spectinomycin,,16.0,mg/L,MIC,CLSI,[34493269]
g1307.7516,tetracycline,,64.0,mg/L,MIC,CLSI,[34493269]
g1307.7516,tiamulin,,32.0,mg/L,MIC,CLSI,[34493269]
g1307.7516,tilmicosin,,128.0,mg/L,MIC,CLSI,[34493269]
g1307.7516,trimethoprim,,0.25,mg/L,MIC,CLSI,[34493269]
g1307.7516,tylosin,,256.0,mg/L,MIC,CLSI,[34493269]
g1307.7517,amoxicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7517,cefquinome,,0.015,mg/L,MIC,CLSI,[34493269]
g1307.7517,ceftiofur,,0.12,mg/L,MIC,CLSI,[34493269]
g1307.7517,doxycycline,,0.12,mg/L,MIC,CLSI,[34493269]
g1307.7517,enrofloxacin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7517,erythromycin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7517,florfenicol,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7517,lincomycin,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7517,marbofloxacin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7517,penicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7517,spectinomycin,,8.0,mg/L,MIC,CLSI,[34493269]
g1307.7517,tetracycline,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7517,tiamulin,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7517,tilmicosin,,4.0,mg/L,MIC,CLSI,[34493269]
g1307.7517,trimethoprim,,0.06,mg/L,MIC,CLSI,[34493269]
g1307.7517,tylosin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7518,amoxicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7518,cefquinome,,0.015,mg/L,MIC,CLSI,[34493269]
g1307.7518,ceftiofur,,0.12,mg/L,MIC,CLSI,[34493269]
g1307.7518,doxycycline,,8.0,mg/L,MIC,CLSI,[34493269]
g1307.7518,enrofloxacin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7518,erythromycin,,32.0,mg/L,MIC,CLSI,[34493269]
g1307.7518,florfenicol,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7518,lincomycin,,128.0,mg/L,MIC,CLSI,[34493269]
g1307.7518,marbofloxacin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7518,penicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7518,spectinomycin,,16.0,mg/L,MIC,CLSI,[34493269]
g1307.7518,tetracycline,,64.0,mg/L,MIC,CLSI,[34493269]
g1307.7518,tiamulin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7518,tilmicosin,,128.0,mg/L,MIC,CLSI,[34493269]
g1307.7518,trimethoprim,,0.06,mg/L,MIC,CLSI,[34493269]
g1307.7518,tylosin,,256.0,mg/L,MIC,CLSI,[34493269]
g1307.7519,amoxicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7519,cefquinome,,0.015,mg/L,MIC,CLSI,[34493269]
g1307.7519,ceftiofur,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7519,doxycycline,,16.0,mg/L,MIC,CLSI,[34493269]
g1307.7519,enrofloxacin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7519,erythromycin,,32.0,mg/L,MIC,CLSI,[34493269]
g1307.7519,florfenicol,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7519,lincomycin,,128.0,mg/L,MIC,CLSI,[34493269]
g1307.7519,marbofloxacin,,0.015,mg/L,MIC,CLSI,[34493269]
g1307.7519,penicillin,,0.12,mg/L,MIC,CLSI,[34493269]
g1307.7519,spectinomycin,,16.0,mg/L,MIC,CLSI,[34493269]
g1307.7519,tetracycline,,64.0,mg/L,MIC,CLSI,[34493269]
g1307.7519,tiamulin,,8.0,mg/L,MIC,CLSI,[34493269]
g1307.7519,tilmicosin,,128.0,mg/L,MIC,CLSI,[34493269]
g1307.7519,trimethoprim,,4.0,mg/L,MIC,CLSI,[34493269]
g1307.7519,tylosin,,256.0,mg/L,MIC,CLSI,[34493269]
g1307.7520,amoxicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7520,cefquinome,,0.002,mg/L,MIC,CLSI,[34493269]
g1307.7520,ceftiofur,,0.12,mg/L,MIC,CLSI,[34493269]
g1307.7520,doxycycline,,8.0,mg/L,MIC,CLSI,[34493269]
g1307.7520,enrofloxacin,,0.25,mg/L,MIC,CLSI,[34493269]
g1307.7520,erythromycin,,32.0,mg/L,MIC,CLSI,[34493269]
g1307.7520,florfenicol,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7520,lincomycin,,128.0,mg/L,MIC,CLSI,[34493269]
g1307.7520,marbofloxacin,,0.015,mg/L,MIC,CLSI,[34493269]
g1307.7520,penicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7520,spectinomycin,,16.0,mg/L,MIC,CLSI,[34493269]
g1307.7520,tetracycline,,32.0,mg/L,MIC,CLSI,[34493269]
g1307.7520,tiamulin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7520,tilmicosin,,128.0,mg/L,MIC,CLSI,[34493269]
g1307.7520,trimethoprim,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7520,tylosin,,256.0,mg/L,MIC,CLSI,[34493269]
g1307.7521,amoxicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7521,cefquinome,,0.008,mg/L,MIC,CLSI,[34493269]
g1307.7521,ceftiofur,,0.12,mg/L,MIC,CLSI,[34493269]
g1307.7521,doxycycline,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7521,enrofloxacin,,0.25,mg/L,MIC,CLSI,[34493269]
g1307.7521,erythromycin,,0.015,mg/L,MIC,CLSI,[34493269]
g1307.7521,florfenicol,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7521,lincomycin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7521,marbofloxacin,,0.015,mg/L,MIC,CLSI,[34493269]
g1307.7521,penicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7521,spectinomycin,,8.0,mg/L,MIC,CLSI,[34493269]
g1307.7521,tetracycline,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7521,tiamulin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7521,tilmicosin,,4.0,mg/L,MIC,CLSI,[34493269]
g1307.7521,trimethoprim,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7521,tylosin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7522,amoxicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7522,cefquinome,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7522,ceftiofur,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7522,doxycycline,,0.12,mg/L,MIC,CLSI,[34493269]
g1307.7522,enrofloxacin,,0.25,mg/L,MIC,CLSI,[34493269]
g1307.7522,erythromycin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7522,florfenicol,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7522,lincomycin,,8.0,mg/L,MIC,CLSI,[34493269]
g1307.7522,marbofloxacin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7522,penicillin,,0.12,mg/L,MIC,CLSI,[34493269]
g1307.7522,spectinomycin,,16.0,mg/L,MIC,CLSI,[34493269]
g1307.7522,tetracycline,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7522,tiamulin,,32.0,mg/L,MIC,CLSI,[34493269]
g1307.7522,tilmicosin,,4.0,mg/L,MIC,CLSI,[34493269]
g1307.7522,trimethoprim,,0.25,mg/L,MIC,CLSI,[34493269]
g1307.7522,tylosin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7523,amoxicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7523,cefquinome,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7523,ceftiofur,,0.25,mg/L,MIC,CLSI,[34493269]
g1307.7523,doxycycline,,8.0,mg/L,MIC,CLSI,[34493269]
g1307.7523,enrofloxacin,,0.25,mg/L,MIC,CLSI,[34493269]
g1307.7523,erythromycin,,32.0,mg/L,MIC,CLSI,[34493269]
g1307.7523,florfenicol,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7523,lincomycin,,128.0,mg/L,MIC,CLSI,[34493269]
g1307.7523,marbofloxacin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7523,penicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7523,spectinomycin,,16.0,mg/L,MIC,CLSI,[34493269]
g1307.7523,tetracycline,,64.0,mg/L,MIC,CLSI,[34493269]
g1307.7523,tiamulin,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7523,tilmicosin,,128.0,mg/L,MIC,CLSI,[34493269]
g1307.7523,trimethoprim,,0.25,mg/L,MIC,CLSI,[34493269]
g1307.7523,tylosin,,256.0,mg/L,MIC,CLSI,[34493269]
g1307.7524,amoxicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7524,cefquinome,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7524,ceftiofur,,0.12,mg/L,MIC,CLSI,[34493269]
g1307.7524,doxycycline,,8.0,mg/L,MIC,CLSI,[34493269]
g1307.7524,enrofloxacin,,0.25,mg/L,MIC,CLSI,[34493269]
g1307.7524,erythromycin,,0.06,mg/L,MIC,CLSI,[34493269]
g1307.7524,florfenicol,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7524,lincomycin,,0.25,mg/L,MIC,CLSI,[34493269]
g1307.7524,marbofloxacin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7524,penicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7524,spectinomycin,,16.0,mg/L,MIC,CLSI,[34493269]
g1307.7524,tetracycline,,32.0,mg/L,MIC,CLSI,[34493269]
g1307.7524,tiamulin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7524,tilmicosin,,4.0,mg/L,MIC,CLSI,[34493269]
g1307.7524,trimethoprim,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7524,tylosin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7525,amoxicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7525,cefquinome,,0.015,mg/L,MIC,CLSI,[34493269]
g1307.7525,ceftiofur,,0.12,mg/L,MIC,CLSI,[34493269]
g1307.7525,doxycycline,,8.0,mg/L,MIC,CLSI,[34493269]
g1307.7525,enrofloxacin,,0.25,mg/L,MIC,CLSI,[34493269]
g1307.7525,erythromycin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7525,florfenicol,,1.0,mg/L,MIC,CLSI,[34493269]
