genome_id,antibiotic,call
PDT000003965.3,ceftiofur,susceptible
PDT000003965.3,ceftriaxone,susceptible
PDT000003965.3,chloramphenicol,susceptible
PDT000003965.3,ciprofloxacin,non-susceptible
PDT000003965.3,gentamicin,non-susceptible
PDT000003965.3,kanamycin,non-susceptible
PDT000003965.3,nalidixic acid,non-susceptible
PDT000003965.3,streptomycin,non-susceptible
PDT000003965.3,sulfamethoxazole,non-susceptible
PDT000003965.3,tetracycline,susceptible
PDT000003965.3,trimethoprim-sulfamethoxazole,susceptible
PDT000003967.4,amikacin,susceptible
PDT000003967.4,amoxicillin-clavulanic acid,susceptible
PDT000003967.4,ampicillin,susceptible
PDT000003967.4,cefoxitin,susceptible
PDT000003967.4,ceftiofur,susceptible
PDT000003967.4,ceftriaxone,susceptible
PDT000003967.4,chloramphenicol,susceptible
PDT000003967.4,ciprofloxacin,susceptible
PDT000003967.4,gentamicin,non-susceptible
PDT000003967.4,kanamycin,susceptible
PDT000003967.4,nalidixic acid,susceptible
PDT000003967.4,streptomycin,non-susceptible
PDT000003967.4,sulfamethoxazole,non-susceptible
PDT000003967.4,tetracycline,susceptible
PDT000003967.4,trimethoprim-sulfamethoxazole,susceptible
PDT000003968.4,amikacin,susceptible
PDT000003968.4,amoxicillin-clavulanic acid,susceptible
PDT000003968.4,ampicillin,susceptible
PDT000003968.4,cefoxitin,susceptible
PDT000003968.4,ceftiofur,susceptible
PDT000003968.4,ceftriaxone,susceptible
PDT000003968.4,chloramphenicol,susceptible
PDT000003968.4,ciprofloxacin,susceptible
PDT000003968.4,gentamicin,susceptible
PDT000003968.4,kanamycin,non-susceptible
PDT000003968.4,nalidixic acid,susceptible
PDT000003968.4,streptomycin,non-susceptible
PDT000003968.4,sulfamethoxazole,susceptible
PDT000003968.4,tetracycline,non-susceptible
PDT000003968.4,trimethoprim-sulfamethoxazole,susceptible
PDT000003969.4,amikacin,susceptible
PDT000003969.4,amoxicillin-clavulanic acid,susceptible
PDT000003969.4,ampicillin,susceptible
PDT000003969.4,cefoxitin,susceptible
PDT000003969.4,ceftiofur,susceptible
PDT000003969.4,ceftriaxone,susceptible
PDT000003969.4,chloramphenicol,susceptible
PDT000003969.4,ciprofloxacin,susceptible
PDT000003969.4,gentamicin,susceptible
PDT000003969.4,kanamycin,susceptible
PDT000003969.4,nalidixic acid,susceptible
PDT000003969.4,streptomycin,susceptible
PDT000003969.4,sulfamethoxazole,susceptible
PDT000003969.4,tetracycline,susceptible
PDT000003969.4,trimethoprim-sulfamethoxazole,susceptible
PDT000003970.3,amikacin,susceptible
PDT000003970.3,amoxicillin-clavulanic acid,susceptible
PDT000003970.3,ampicillin,susceptible
PDT000003970.3,cefoxitin,susceptible
PDT000003970.3,ceftiofur,susceptible
PDT000003970.3,ceftriaxone,susceptible
PDT000003970.3,chloramphenicol,susceptible
PDT000003970.3,ciprofloxacin,susceptible
PDT000003970.3,gentamicin,susceptible
PDT000003970.3,kanamycin,susceptible
PDT000003970.3,nalidixic acid,susceptible
PDT000003970.3,streptomycin,susceptible
PDT000003970.3,sulfamethoxazole,susceptible
PDT000003970.3,tetracycline,non-susceptible
PDT000003970.3,trimethoprim-sulfamethoxazole,susceptible
PDT000003971.4,amikacin,susceptible
PDT000003971.4,amoxicillin-clavulanic acid,susceptible
PDT000003971.4,ampicillin,susceptible
PDT000003971.4,cefoxitin,susceptible
PDT000003971.4,ceftiofur,susceptible
PDT000003971.4,ceftriaxone,susceptible
PDT000003971.4,chloramphenicol,susceptible
PDT000003971.4,ciprofloxacin,susceptible
PDT000003971.4,gentamicin,susceptible
PDT000003971.4,kanamycin,susceptible
PDT000003971.4,nalidixic acid,susceptible
PDT000003971.4,streptomycin,susceptible
PDT000003971.4,sulfamethoxazole,susceptible
PDT000003971.4,tetracycline,non-susceptible
PDT000003971.4,trimethoprim-sulfamethoxazole,susceptible
PDT000003972.4,amikacin,susceptible
PDT000003972.4,amoxicillin-clavulanic acid,susceptible
PDT000003972.4,ampicillin,susceptible
PDT000003972.4,cefoxitin,susceptible
PDT000003972.4,ceftiofur,susceptible
PDT000003972.4,ceftriaxone,susceptible
PDT000003972.4,chloramphenicol,susceptible
PDT000003972.4,ciprofloxacin,susceptible
PDT000003972.4,gentamicin,susceptible
PDT000003972.4,kanamycin,susceptible
PDT000003972.4,nalidixic acid,susceptible
PDT000003972.4,streptomycin,susceptible
PDT000003972.4,sulfamethoxazole,susceptible
PDT000003972.4,tetracycline,susceptible
PDT000003972.4,trimethoprim-sulfamethoxazole,susceptible
PDT000003973.4,amikacin,susceptible
PDT000003973.4,amoxicillin-clavulanic acid,susceptible
PDT000003973.4,ampicillin,susceptible
PDT000003973.4,cefoxitin,susceptible
PDT000003973.4,ceftiofur,susceptible
PDT000003973.4,ceftriaxone,susceptible
PDT000003973.4,chloramphenicol,susceptible
PDT000003973.4,ciprofloxacin,susceptible
PDT000003973.4,gentamicin,susceptible
PDT000003973.4,kanamycin,susceptible
PDT000003973.4,nalidixic acid,susceptible
PDT000003973.4,streptomycin,susceptible
PDT000003973.4,sulfamethoxazole,susceptible
PDT000003973.4,tetracycline,susceptible
PDT000003973.4,trimethoprim-sulfamethoxazole,susceptible
PDT000003974.4,amikacin,susceptible
PDT000003974.4,amoxicillin-clavulanic acid,susceptible
PDT000003974.4,ampicillin,susceptible
PDT000003974.4,cefoxitin,susceptible
PDT000003974.4,ceftiofur,susceptible
PDT000003974.4,ceftriaxone,susceptible
PDT000003974.4,chloramphenicol,susceptible
PDT000003974.4,ciprofloxacin,susceptible
PDT000003974.4,gentamicin,non-susceptible
PDT000003974.4,kanamycin,non-susceptible
PDT000003974.4,nalidixic acid,susceptible
PDT000003974.4,streptomycin,non-susceptible
PDT000003974.4,sulfamethoxazole,non-susceptible
PDT000003974.4,tetracycline,non-susceptible
PDT000003974.4,trimethoprim-sulfamethoxazole,susceptible
PDT000003975.4,amikacin,susceptible
PDT000003975.4,amoxicillin-clavulanic acid,susceptible
PDT000003975.4,ampicillin,susceptible
PDT000003975.4,cefoxitin,susceptible
PDT000003975.4,ceftiofur,susceptible
PDT000003975.4,ceftriaxone,susceptible
PDT000003975.4,chloramphenicol,susceptible
PDT000003975.4,ciprofloxacin,susceptible
PDT000003975.4,gentamicin,non-susceptible
PDT000003975.4,kanamycin,non-susceptible
PDT000003975.4,nalidixic acid,susceptible
PDT000003975.4,streptomycin,non-susceptible
PDT000003975.4,sulfamethoxazole,non-susceptible
PDT000003975.4,tetracycline,non-susceptible
PDT000003975.4,trimethoprim-sulfamethoxazole,susceptible
PDT000003976.4,amikacin,susceptible
PDT000003976.4,amoxicillin-clavulanic acid,susceptible
